start	game_id	sqw_home_team_id	sqw_away_team_id	team_id	short_name	first_name	last_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict
2015	9700	140	124	124	Marseille	Lucas	Ocampos	0	84.8	43.4	66.5290068818	16.5710591092	0	0	0	0	0	0	0	0.137160755576
2015	9700	140	124	124	Marseille	Lucas Silva	Borges	0	78.6	38.0	60.7185729389	24.5348731401	0	1	0	0	0	0	0	0.0424784134591
2015	9700	140	124	124	Marseille	Lucas Silva	Borges	0	83.9	32.0	41.8108640853	24.1497411994	0	0	0	0	0	0	0	0.0444977840273
2015	9700	140	124	124	Marseille	Michy	Batshuayi	1	90.0	37.2	37.9987324425	16.2431524034	0	0	0	0	0	0	0	0.141090129706
2015	9700	140	124	124	Marseille	Lucas	Ocampos	0	80.4	58.5	113.445098185	21.3637543517	0	0	0	0	0	0	0	0.0709255101728
2015	9700	140	124	124	Marseille	Rémy	Cabella	0	89.9	34.2	32.5883614108	18.7523331882	0	1	0	0	0	1	0	0.0987811288188
2015	9700	140	124	124	Marseille	Georges-Kévin	Nkoudou Mbida	0	73.6	54.4	99.462322208	26.7641551333	0	0	0	0	0	0	0	0.0309208508992
2015	9700	140	124	124	Marseille	Abdel	Barrada	0	76.6	56.0	104.381394591	24.156986567	0	0	0	0	0	0	0	0.0463081890791
2015	9700	140	124	140	Toulouse	Wissam	Ben Yedder	0	76.0	35.2	58.3392489034	28.1964536777	0	0	0	0	0	0	0	0.0240810314474
2015	9700	140	124	140	Toulouse	Adrien	Regattin	0	85.9	62.8	132.233211599	19.0433715502	0	1	0	0	0	0	0	0.100745808025
2015	9700	140	124	140	Toulouse	Wissam	Ben Yedder	0	77.3	46.0	80.0064197407	23.0497288487	0	0	0	0	0	0	0	0.0539186272398
2015	9700	140	124	140	Toulouse	Martin	Braithwaite	0	92.6	63.8	151.798371781	15.6588633049	0	0	0	0	0	0	0	0.163169116122
2015	9700	140	124	140	Toulouse	Adrien	Regattin	0	79.2	69.5	133.152389734	28.5112258593	0	1	0	0	0	0	0	0.0241056300232
2015	9700	140	124	140	Toulouse	Martin	Braithwaite	0	79.0	37.0	58.2405199152	24.6981780705	0	0	0	0	0	0	0	0.0413623543801
2015	9700	140	124	140	Toulouse	Étienne	Didot	0	84.1	67.7	138.066485501	23.7928560707	0	0	0	0	0	0	0	0.0500334374081
2015	9700	140	124	140	Toulouse	Adrien	Regattin	0	74.7	68.1	125.580499742	31.107876816	0	0	0	0	0	0	0	0.0159700270816
2015	9700	140	124	140	Toulouse	Tongo	Doumbia	0	84.6	27.2	34.0366103537	27.5136329844	0	0	0	0	0	0	0	0.0263510189222
2015	9700	140	124	140	Toulouse	Tongo	Doumbia	0	77.0	46.2	80.6184898393	23.3117995873	0	0	0	0	0	0	0	0.0518429722596
2015	9700	140	124	140	Toulouse	Martin	Braithwaite	1	92.3	51.5	101.023455964	7.84474346298	0	1	0	0	0	0	0	0.396205957618
