start	id	short_name	tsr_for
2013	135	Montpellier	0.353
2013	142	PSG	0.647
2013	132	Rennes	0.381
2013	141	Reims	0.619
2013	125	Evian	0.556
2013	143	Sochaux	0.444
2013	133	Monaco	0.542
2013	136	Bordeaux	0.458
2013	129	Lille	0.462
2013	134	Lorient	0.538
2013	140	Toulouse	0.25
2013	144	Valenciennes	0.75
2013	131	Lyon	0.6
2013	139	Nice	0.4
2013	123	Bastia	0.4
2013	137	Nantes	0.6
2013	128	St Etienne	0.429
2013	145	Ajaccio	0.571
2013	124	Marseille	0.536
2013	127	Guingamp	0.464
2013	131	Lyon	0.714
2013	143	Sochaux	0.286
2013	124	Marseille	0.389
2013	125	Evian	0.611
2013	129	Lille	0.6
2013	141	Reims	0.4
2013	123	Bastia	0.444
2013	144	Valenciennes	0.556
2013	127	Guingamp	0.5
2013	128	St Etienne	0.5
2013	132	Rennes	0.389
2013	139	Nice	0.611
2013	136	Bordeaux	0.444
2013	140	Toulouse	0.556
2013	133	Monaco	0.722
2013	135	Montpellier	0.278
2013	134	Lorient	0.65
2013	137	Nantes	0.35
2013	142	PSG	0.971
2013	145	Ajaccio	0.029
2013	133	Monaco	0.875
2013	140	Toulouse	0.125
2013	124	Marseille	0.739
2013	144	Valenciennes	0.261
2013	125	Evian	0.706
2013	132	Rennes	0.294
2013	135	Montpellier	0.6
2013	143	Sochaux	0.4
2013	131	Lyon	0.76
2013	141	Reims	0.24
2013	127	Guingamp	0.476
2013	134	Lorient	0.524
2013	123	Bastia	0.235
2013	136	Bordeaux	0.765
2013	128	St Etienne	0.333
2013	129	Lille	0.667
2013	139	Nice	0.75
2013	145	Ajaccio	0.25
2013	137	Nantes	0.464
2013	142	PSG	0.536
2013	125	Evian	0.625
2013	131	Lyon	0.375
2013	127	Guingamp	0.219
2013	142	PSG	0.781
2013	129	Lille	0.588
2013	132	Rennes	0.412
2013	143	Sochaux	0.727
2013	145	Ajaccio	0.273
2013	123	Bastia	0.455
2013	140	Toulouse	0.545
2013	134	Lorient	0.714
2013	144	Valenciennes	0.286
2013	137	Nantes	0.563
2013	141	Reims	0.438
2013	128	St Etienne	0.458
2013	136	Bordeaux	0.542
2013	135	Montpellier	0.333
2013	139	Nice	0.667
2013	124	Marseille	0.455
2013	133	Monaco	0.545
2013	136	Bordeaux	0.333
2013	142	PSG	0.667
2013	124	Marseille	0.438
2013	140	Toulouse	0.563
2013	128	St Etienne	0.526
2013	144	Valenciennes	0.474
2013	135	Montpellier	0.64
2013	141	Reims	0.36
2013	123	Bastia	0.417
2013	127	Guingamp	0.583
2013	125	Evian	0.381
2013	145	Ajaccio	0.619
2013	137	Nantes	0.909
2013	143	Sochaux	0.091
2013	133	Monaco	0.733
2013	134	Lorient	0.267
2013	129	Lille	0.815
2013	139	Nice	0.185
2013	131	Lyon	0.818
2013	132	Rennes	0.182
2013	128	St Etienne	0.667
2013	140	Toulouse	0.333
2013	123	Bastia	0.563
2013	124	Marseille	0.438
2013	127	Guingamp	0.5
2013	141	Reims	0.5
2013	132	Rennes	0.55
2013	145	Ajaccio	0.45
2013	125	Evian	0.353
2013	135	Montpellier	0.647
2013	129	Lille	0.517
2013	143	Sochaux	0.483
2013	134	Lorient	0.522
2013	136	Bordeaux	0.478
2013	131	Lyon	0.55
2013	137	Nantes	0.45
2013	139	Nice	0.529
