x	y	head	predict
86.900000	56.900000	0.000000	0.109770
73.800000	52.900000	0.000000	0.067024
92.700000	26.700000	0.000000	0.137230
87.400000	47.200000	1.000000	0.096887
91.000000	25.800000	0.000000	0.129159
74.200000	54.500000	0.000000	0.068017
81.800000	69.100000	0.000000	0.090294
81.700000	27.500000	0.000000	0.091610
77.300000	27.200000	0.000000	0.077551
93.800000	41.500000	1.000000	0.122961
73.900000	43.400000	0.000000	0.067571
74.800000	51.700000	0.000000	0.069696
76.200000	65.200000	0.000000	0.073106
76.000000	32.000000	0.000000	0.073631
76.900000	63.600000	0.000000	0.075147
89.000000	60.600000	0.000000	0.118370
91.800000	28.500000	0.000000	0.132779
80.700000	49.900000	0.000000	0.087359
91.400000	50.600000	1.000000	0.112207
92.400000	53.900000	1.000000	0.116232
76.300000	65.500000	0.000000	0.073377
74.400000	45.200000	0.000000	0.068831
90.200000	57.700000	1.000000	0.107026
95.700000	61.000000	0.000000	0.150478
73.100000	46.100000	0.000000	0.065435
80.600000	51.000000	0.000000	0.086987
89.400000	52.300000	0.000000	0.120532
81.300000	79.300000	0.000000	0.088213
83.900000	29.600000	0.000000	0.099384
84.500000	54.000000	0.000000	0.100560
87.600000	35.600000	1.000000	0.098107
80.300000	50.100000	0.000000	0.086041
86.900000	40.800000	0.000000	0.110531
95.400000	51.100000	0.000000	0.149503
94.000000	43.100000	1.000000	0.123773
90.900000	52.000000	0.000000	0.127285
88.300000	43.900000	0.000000	0.116204
82.100000	47.100000	0.000000	0.092203
83.600000	34.200000	0.000000	0.098081
74.900000	55.000000	0.000000	0.069861
75.900000	65.600000	0.000000	0.072256
75.200000	35.200000	0.000000	0.071302
96.600000	58.300000	0.000000	0.155472
91.900000	25.800000	0.000000	0.133407
73.400000	61.200000	0.000000	0.065750
75.800000	34.700000	0.000000	0.072980
77.600000	36.600000	0.000000	0.078117
85.200000	41.500000	0.000000	0.103770
88.400000	37.100000	0.000000	0.116968
76.600000	67.400000	0.000000	0.074163
93.100000	48.700000	1.000000	0.119505
89.400000	41.800000	0.000000	0.121069
71.400000	51.700000	0.000000	0.061106
86.500000	66.400000	0.000000	0.107722
91.500000	33.900000	0.000000	0.131060
90.900000	64.200000	0.000000	0.126633
73.200000	63.400000	0.000000	0.065178
76.300000	50.100000	0.000000	0.073883
92.000000	43.400000	1.000000	0.115057
78.500000	55.800000	0.000000	0.080157
85.000000	79.800000	0.000000	0.101309
92.700000	59.400000	1.000000	0.117239
74.900000	57.900000	0.000000	0.069771
97.900000	52.100000	1.000000	0.141838
74.500000	71.100000	0.000000	0.068298
78.600000	39.400000	0.000000	0.081050
85.500000	54.800000	0.000000	0.104329
79.800000	77.200000	0.000000	0.083423
90.900000	43.100000	0.000000	0.127762
71.700000	73.200000	0.000000	0.061224
82.900000	25.800000	0.000000	0.095899
90.800000	53.700000	1.000000	0.109611
87.300000	62.500000	0.000000	0.111131
89.300000	42.000000	0.000000	0.120619
88.900000	50.600000	1.000000	0.102306
93.700000	34.200000	0.000000	0.141764
87.800000	34.000000	1.000000	0.098910
84.400000	54.000000	0.000000	0.100186
80.100000	43.500000	0.000000	0.085641
78.400000	59.600000	0.000000	0.079718
99.200000	33.200000	0.000000	0.171845
76.000000	58.000000	0.000000	0.072781
87.800000	31.300000	0.000000	0.114711
87.000000	65.200000	1.000000	0.094701
85.600000	68.800000	0.000000	0.104086
86.800000	28.300000	0.000000	0.110717
82.200000	70.700000	0.000000	0.091599
94.400000	78.000000	0.000000	0.142723
67.700000	38.200000	0.000000	0.053216
76.600000	68.300000	0.000000	0.074133
78.500000	70.600000	0.000000	0.079633
73.600000	56.700000	0.000000	0.066394
74.400000	37.900000	0.000000	0.069057
84.600000	26.700000	0.000000	0.102135
88.300000	43.700000	0.000000	0.116214
79.800000	72.100000	0.000000	0.083611
84.800000	27.700000	0.000000	0.102852
87.800000	70.200000	0.000000	0.112820
80.000000	69.800000	0.000000	0.084333
77.500000	68.500000	0.000000	0.076723
86.400000	55.200000	0.000000	0.107843
83.500000	48.200000	0.000000	0.097123
87.900000	72.500000	0.000000	0.113124
71.300000	40.900000	0.000000	0.061168
92.800000	46.900000	0.000000	0.136569
89.700000	71.700000	0.000000	0.120857
89.600000	54.600000	0.000000	0.121294
89.500000	50.700000	1.000000	0.104604
96.000000	56.400000	1.000000	0.132295
91.500000	41.800000	1.000000	0.113044
92.800000	28.600000	0.000000	0.137612
75.500000	76.800000	0.000000	0.070798
88.200000	66.300000	0.000000	0.114678
87.000000	38.600000	0.000000	0.111043
86.400000	42.900000	0.000000	0.108415
70.200000	51.000000	0.000000	0.058337
73.400000	53.400000	0.000000	0.065981
79.800000	71.400000	0.000000	0.083637
85.800000	63.100000	0.000000	0.105118
91.500000	50.700000	1.000000	0.112615
89.700000	40.800000	0.000000	0.122448
86.700000	30.100000	0.000000	0.110225
93.500000	59.600000	0.000000	0.139285
86.300000	50.200000	0.000000	0.107677
78.300000	54.000000	0.000000	0.079613
82.200000	55.900000	0.000000	0.092195
97.200000	30.500000	0.000000	0.160559
74.900000	62.900000	0.000000	0.069614
94.700000	48.000000	1.000000	0.126688
95.800000	40.100000	1.000000	0.132247
91.900000	40.200000	1.000000	0.114793
76.100000	28.000000	0.000000	0.074046
92.400000	63.900000	0.000000	0.133676
74.200000	41.300000	0.000000	0.068422
90.600000	33.600000	0.000000	0.126892
81.600000	44.700000	0.000000	0.090581
88.700000	55.200000	1.000000	0.101346
94.900000	59.800000	0.000000	0.146366
77.500000	72.800000	0.000000	0.076577
86.200000	59.800000	0.000000	0.106837
91.900000	47.800000	1.000000	0.114421
84.300000	56.300000	0.000000	0.099714
89.900000	54.200000	0.000000	0.122644
79.700000	37.100000	0.000000	0.084592
87.600000	54.200000	0.000000	0.112764
74.100000	39.800000	0.000000	0.068204
92.000000	35.500000	0.000000	0.133345
89.300000	37.900000	0.000000	0.120829
83.800000	38.400000	0.000000	0.098636
70.100000	72.800000	0.000000	0.057538
77.700000	71.500000	0.000000	0.077209
68.000000	45.200000	0.000000	0.053674
73.600000	55.300000	0.000000	0.066436
92.600000	61.400000	0.000000	0.134778
92.400000	43.400000	0.000000	0.134825
91.300000	45.000000	0.000000	0.129515
88.300000	54.800000	1.000000	0.099865
85.300000	36.700000	0.000000	0.104371
85.300000	47.700000	0.000000	0.103877
92.700000	49.400000	0.000000	0.135940
82.200000	34.500000	0.000000	0.093062
86.400000	47.900000	0.000000	0.108182
81.300000	61.200000	0.000000	0.088917
88.500000	47.000000	1.000000	0.100953
76.600000	32.300000	0.000000	0.075333
69.800000	51.500000	0.000000	0.057421
96.000000	59.800000	0.000000	0.152146
86.900000	45.200000	0.000000	0.110323
90.700000	26.900000	0.000000	0.127710
88.400000	52.600000	1.000000	0.100334
90.700000	58.800000	0.000000	0.126007
92.300000	46.000000	0.000000	0.134197
81.800000	42.600000	0.000000	0.091349
82.800000	64.500000	0.000000	0.093941
64.100000	42.500000	0.000000	0.046099
78.600000	67.500000	0.000000	0.080047
84.300000	41.500000	0.000000	0.100356
73.200000	68.800000	0.000000	0.065020
76.400000	59.000000	0.000000	0.073873
79.300000	59.800000	0.000000	0.082487
76.900000	27.700000	0.000000	0.076358
82.000000	60.400000	0.000000	0.091324
89.500000	50.300000	1.000000	0.104622
88.300000	53.400000	1.000000	0.099926
78.600000	74.200000	0.000000	0.079809
76.700000	46.700000	0.000000	0.075138
93.200000	52.400000	1.000000	0.119753
79.500000	65.000000	0.000000	0.082924
93.900000	53.600000	1.000000	0.122779
90.400000	49.100000	1.000000	0.108219
79.300000	50.400000	0.000000	0.082830
88.500000	42.500000	1.000000	0.101150
74.100000	62.300000	0.000000	0.067518
95.900000	41.500000	0.000000	0.152751
91.500000	43.400000	1.000000	0.112967
98.200000	48.300000	0.000000	0.165030
84.900000	41.500000	0.000000	0.102620
78.400000	35.800000	0.000000	0.080564
87.900000	68.000000	0.000000	0.113342
78.000000	33.700000	0.000000	0.079420
68.000000	42.900000	0.000000	0.053730
89.700000	62.000000	0.000000	0.121355
69.700000	48.800000	0.000000	0.057268
88.000000	53.400000	0.000000	0.114470
68.200000	46.600000	0.000000	0.054061
89.900000	47.400000	1.000000	0.106316
81.500000	63.900000	0.000000	0.089484
87.800000	44.500000	0.000000	0.114066
86.300000	64.900000	0.000000	0.106998
84.900000	59.100000	0.000000	0.101842
82.300000	46.400000	0.000000	0.092927
73.900000	65.600000	0.000000	0.066900
67.100000	49.600000	0.000000	0.051709
94.400000	58.200000	1.000000	0.124782
87.300000	68.800000	0.000000	0.110832
76.600000	44.700000	0.000000	0.074917
85.700000	63.700000	0.000000	0.104702
62.700000	64.100000	0.000000	0.043184
66.800000	57.500000	0.000000	0.050919
86.100000	60.600000	0.000000	0.106407
85.100000	69.800000	0.000000	0.102128
87.800000	41.200000	1.000000	0.098602
84.800000	34.900000	0.000000	0.102532
89.400000	26.900000	0.000000	0.121836
72.100000	66.400000	0.000000	0.062374
70.800000	43.400000	0.000000	0.059922
70.200000	57.700000	0.000000	0.058160
80.200000	50.700000	0.000000	0.085693
88.900000	52.600000	1.000000	0.102217
68.300000	62.100000	0.000000	0.053891
