start	game_id	sqw_home_team_id	sqw_away_team_id	team_id	short_name	first_name	last_name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict
2015	10950	132	139	139	Nice	Mathieu	Bodmer	1	91.2	56.8	127.694240467	11.1211510196	0	1	1	0	0	0	0	0.176936220884
2015	10950	132	139	139	Nice	Wallyson	Teixiera Mallmann	0	92.2	64.2	151.220193696	16.2012345209	0	0	0	0	0	0	0	0.151629141188
2015	10950	132	139	139	Nice	Wallyson	Teixiera Mallmann	0	91.8	47.9	75.6354175503	8.46463230152	0	0	0	0	0	0	0	0.368710667718
2015	10950	132	139	139	Nice	Hatem	Ben Arfa	1	95.7	35.1	16.0976429638	15.5080624193	0	0	0	0	0	0	0	0.153962378177
2015	10950	132	139	139	Nice	Wallyson	Teixiera Mallmann	0	79.0	66.9	128.825786294	26.9557044056	0	0	0	0	0	0	0	0.0306091411822
2015	10950	132	139	139	Nice	Mahamane	Traoré	1	93.7	46.0	57.5876933816	7.46257328272	0	1	0	0	0	0	0	0.403705795642
2015	10950	132	139	139	Nice	Valère	Germain	0	94.8	52.1	111.991129917	5.60802995712	0	1	0	0	0	0	0	0.485894147777
2015	10950	132	139	139	Nice	Jean	Seri	0	77.9	62.0	118.501359615	25.14776332	0	1	0	0	0	0	0	0.0401706591073
2015	10950	132	139	139	Nice	Said	Benrahma	1	80.7	69.5	135.295336454	27.4361075956	0	0	1	0	0	0	0	0.0156966140053
2015	10950	132	139	139	Nice	Jérémy	Pied	0	80.7	24.4	37.0128687266	32.0600998127	0	1	0	0	0	0	0	0.0129472446648
2015	10950	132	139	139	Nice	Hatem	Ben Arfa	0	85.6	36.0	45.8069294551	20.083824337	0	0	0	0	0	0	0	0.082074479608
2015	10950	132	139	139	Nice	Wallyson	Teixiera Mallmann	0	86.7	28.0	31.1548691639	25.7077809233	0	0	0	0	0	0	0	0.0347898486549
2015	10950	132	139	132	Rennes	Pedro	Henrique	0	77.5	38.9	63.7413404452	25.0890414325	0	0	0	0	0	0	0	0.0390976105543
2015	10950	132	139	132	Rennes	Kamil	Grosicki	1	88.7	67.7	147.445103197	20.9995238041	0	0	0	0	0	0	0	0.0764886884998
2015	10950	132	139	132	Rennes	Pedro Filipe	Teodósio Mendes	0	87.5	61.3	132.113581456	16.8505192798	0	1	0	0	0	0	0	0.137202810527
2015	10950	132	139	132	Rennes	Kamil	Grosicki	0	90.7	66.4	150.443590982	18.8533816595	0	0	0	0	0	0	0	0.104694603019
2015	10950	132	139	132	Rennes	Kamil	Grosicki	0	87.1	68.1	144.52225501	22.2265606876	0	0	0	0	0	0	0	0.0636210508221
2015	10950	132	139	132	Rennes	Pedro Filipe	Teodósio Mendes	0	75.4	67.7	125.735476015	30.3059400118	0	0	0	0	0	0	0	0.0181152506596
2015	10950	132	139	132	Rennes	Pedro	Henrique	0	87.7	64.2	139.100981698	18.7864312737	1	0	0	0	1	0	0	0.0399329368445
2015	10950	132	139	132	Rennes	Ludovic	Baal	0	91.1	65.2	149.649904106	17.6139149538	1	1	1	0	0	0	0	0.0266993494644
2015	10950	132	139	132	Rennes	Abdoulaye	Doucouré	0	88.7	63.6	140.277406083	17.6819116614	1	1	0	0	0	0	0	0.0473113662899
2015	10950	132	139	132	Rennes	Giovanni	Sio	0	77.5	39.7	65.4027458409	24.7455046423	0	0	0	0	0	0	0	0.0412575477225
2015	10950	132	139	132	Rennes	Steven	Moreira	0	78.6	23.1	38.5036184197	34.3739727119	0	0	0	0	0	0	0	0.00899117850847
2015	10950	132	139	132	Rennes	Giovanni	Sio	0	92.8	77.1	165.121232271	28.0401497856	0	0	0	0	0	0	0	0.026500994563
2015	10950	132	139	132	Rennes	Abdoulaye	Doucouré	0	81.6	64.6	128.431235878	23.4887206974	0	1	0	0	0	0	0	0.052066715435
2015	10950	132	139	132	Rennes	Mehdi	Zeffane	0	75.4	73.4	133.567903816	33.9517304419	0	0	0	0	0	0	0	0.0102538715354
