short_name	on_target	shots	percentage
PSG	172	387	0.44
Guingamp	116	293	0.4
Lyon	169	418	0.4
Bastia	99	260	0.38
Montpellier	116	305	0.38
Monaco	128	344	0.37
Lorient	142	399	0.36
Rennes	99	285	0.35
Caen	126	360	0.35
Marseille	169	478	0.35
Nice	112	324	0.35
St Etienne	118	356	0.33
Reims	115	350	0.33
Metz	112	335	0.33
Bordeaux	119	371	0.32
Nantes	110	344	0.32
Evian	79	254	0.31
Lille	108	362	0.3
Lens	107	353	0.3
Toulouse	100	346	0.29
