short_name	pdo_int	pdo
PSG	1,095	1095
Marseille	1,076	1076
St Etienne	1,073	1073
Lyon	1,069	1069
Monaco	1,053	1053
Montpellier	1,050	1050
Caen	1,032	1032
Bastia	1,023	1023
Rennes	999	999
Guingamp	996	996
Bordeaux	985	985
Evian	981	981
Lille	979	979
Reims	970	970
Nice	961	961
Lorient	960	960
Toulouse	941	941
Nantes	940	940
Lens	928	928
Metz	900	900
