short_name	pdo_int	pdo
PSG	1,098	1098
St Etienne	1,072	1072
Marseille	1,071	1071
Lyon	1,065	1065
Monaco	1,056	1056
Montpellier	1,049	1049
Bastia	1,032	1032
Caen	1,032	1032
Rennes	1,004	1004
Guingamp	997	997
Bordeaux	987	987
Evian	980	980
Reims	970	970
Lille	970	970
Lorient	957	957
Nice	957	957
Nantes	945	945
Toulouse	942	942
Lens	920	920
Metz	902	902
