short_name	on_target	shots	percentage
PSG	180	402	0.45
Lyon	175	428	0.41
Guingamp	117	297	0.39
Montpellier	121	316	0.38
Bastia	100	266	0.38
Monaco	129	351	0.37
Rennes	105	295	0.36
Marseille	173	495	0.35
Caen	129	371	0.35
Lorient	150	423	0.35
Nice	115	334	0.34
Metz	120	356	0.34
Reims	118	360	0.33
Bordeaux	127	388	0.33
St Etienne	121	367	0.33
Nantes	114	352	0.32
Evian	83	263	0.32
Lille	116	376	0.31
Lens	109	362	0.3
Toulouse	103	351	0.29
