name	on_target	shots	goals	sot_ratio
Christophe Mandanne	26	41	9	0.63
Clinton N'Jie	22	36	3	0.61
Zlatan Ibrahimovic	45	80	17	0.56
Cheick Diabaté	20	36	8	0.56
Lucas Barrios	17	31	10	0.55
Alexandre Lacazette	44	80	23	0.55
Michy	16	31	8	0.52
Alassane Pléa	21	43	3	0.49
Ola Toivonen	21	43	6	0.49
Claudio Beauvue	30	61	11	0.49
Edinson Cavani	36	75	8	0.48
Nabil Fekir	30	63	11	0.48
Anthony Martial	15	32	5	0.47
Raphael Guerreiro	22	48	7	0.46
Wissam Ben Yedder	30	67	10	0.45
André-Pierre Gignac	49	110	16	0.45
Floyd Ayité	16	36	4	0.44
Diego	17	40	5	0.43
Daniel Wass	18	43	8	0.42
Souleymane Camara	21	50	3	0.42
Dimitar Berbatov	21	51	7	0.41
André Ayew	17	41	7	0.41
Jordan Ayew	32	79	9	0.41
Morgan Sanson	16	40	5	0.4
Wahbi Khazri	24	60	8	0.4
Paul-Georges Ntep	19	48	9	0.4
Abdoulaye Doucouré	16	41	2	0.39
Lucas Moura	15	38	7	0.39
Corentin Tolisso	14	36	6	0.39
Benjamin Moukandjo	15	38	7	0.39
Carlos Eduardo	23	61	9	0.38
Mathieu Duhamel	23	61	8	0.38
Kévin Berigaud	15	39	4	0.38
Bengali-Fodé Koita	18	47	3	0.38
Divock Origi	15	40	6	0.38
Pablo Chavarria	15	41	4	0.37
Yannick Ferreira-Carrasco	20	54	4	0.37
Nolan Roux	17	46	5	0.37
Benjamin Jeannot	23	63	7	0.37
Martin Braithwaite	20	55	3	0.36
Valentin Eysseric	17	47	1	0.36
Dimitri Payet	21	59	6	0.36
Ryad Boudebouz	11	31	5	0.35
Max Gradel	26	76	10	0.34
Bouna Sarr	12	35	1	0.34
Diego Rolan	16	47	11	0.34
Lenny Nangis	13	39	4	0.33
Jordan Veretout	14	42	6	0.33
Éric Bautheac	14	43	5	0.33
Thomas Touré	14	43	2	0.33
Gianni Bruno	10	31	2	0.32
Julien Féret	10	31	6	0.32
Herve Bazile	11	34	5	0.32
João Moutinho	11	34	2	0.32
Anthony Mounier	12	39	6	0.31
Yacine Bammou	17	55	4	0.31
Yeni N'Gbakoto	13	43	5	0.3
Pedro Henrique	10	34	2	0.29
Prince Oniangué	11	41	3	0.27
Walid Mesloub	10	37	0	0.27
Pierrick Valdivia	12	47	1	0.26
Wylan Cyprien	9	34	2	0.26
Florian Thauvin	17	66	5	0.26
Aleksandar Pesic	14	54	6	0.26
Gaëtan Charbonnier	12	47	4	0.26
Adamo Coulibaly	13	52	4	0.25
Jordan Ferri	8	34	1	0.24
Gianelli Imbula	11	45	2	0.24
Serge Gakpe	9	40	2	0.23
Guirane N'Daw	7	33	0	0.21
