on_target	goal	distance	headed
1	0	9.06972987469858	false
0	0	11.030865786510146	false
1	1	3.624913792078369	false
1	0	11.637869220780923	false
1	1	6.815423684555492	false
0	0	7.034912934784623	false
0	0	22.26858774148015	false
0	0	11.42015761712595	false
0	0	17.81965207292219	false
1	1	23.637258724310648	false
1	1	10.594810050208542	false
0	0	10.012991560967187	false
1	1	15.59743568667619	false
0	0	23.4241328548145	false
0	0	25.444252789186002	false
0	0	25.894014752448108	false
1	0	22.7008810401711	false
1	1	18.627130750601395	false
0	0	17.972478960900194	false
1	1	11.5	false
0	0	24.400204917172314	false
1	0	11.693160394008114	false
0	0	12.744018204632319	false
0	0	15.71368830033229	false
0	0	22.90589443789524	false
1	0	22.38861317723811	false
0	0	6.506919393998978	false
1	0	11.5	false
0	0	10.016985574512923	true
1	0	12.983451005029444	false
0	0	27.56700926832651	false
1	0	18.633571852975482	false
1	1	16.172198366332264	false
1	0	19.175505208468426	false
1	1	9.71236325515062	false
0	0	26.310454196003537	false
0	0	15.41752249876743	false
1	0	30.332325990599536	false
0	0	16.387800340497193	false
1	0	17.26528308484978	false
1	0	12.557467897629682	false
0	0	14.167568598739864	false
0	0	13.363382805263042	false
1	0	21.38270329027647	false
0	0	25.393896904571385	false
0	0	18.22361105818493	false
0	0	11.006361796706484	true
0	0	23.787601812709067	false
0	0	16.501212076693033	false
1	0	9.526804291051642	true
0	0	25.144581921360317	false
