distance	nb	headed	on_target	goal
6.0	1	0	1	1
7.0	2	0	2	2
8.0	3	0	2	2
9.0	3	0	1	1
10.0	2	1	2	2
11.0	2	0	1	1
12.0	7	0	5	4
13.0	2	0	0	0
14.0	2	0	1	1
15.0	6	0	4	0
16.0	1	0	0	0
17.0	6	0	3	0
18.0	2	0	1	0
19.0	4	0	0	0
20.0	4	1	0	0
21.0	1	0	1	0
22.0	1	0	0	0
23.0	6	0	3	1
24.0	4	0	3	1
25.0	8	0	2	0
26.0	5	0	0	0
27.0	6	0	1	1
28.0	10	0	2	0
29.0	2	0	0	0
30.0	3	0	1	0
31.0	2	0	0	0
32.0	3	0	1	0
33.0	2	0	2	0
34.0	1	0	0	0
35.0	1	0	0	0
