distance	nb	headed	on_target	goal
8.0	1	1	1	1
9.0	1	1	1	0
10.0	2	1	2	0
11.0	1	1	0	0
12.0	1	0	1	1
13.0	2	0	1	1
14.0	1	0	1	0
16.0	2	0	0	0
17.0	1	0	1	0
18.0	1	0	0	0
22.0	1	0	1	0
23.0	3	0	1	1
24.0	5	0	1	0
25.0	4	0	2	0
26.0	4	0	1	0
27.0	2	0	0	0
28.0	4	0	0	0
29.0	3	0	0	0
31.0	1	0	0	0
32.0	4	0	1	0
33.0	1	0	0	0
38.0	1	0	0	0
