on_target	goal	distance	headed
1	0	13.923002549737607	false
1	0	19.700253805471647	false
0	0	9.143850392476901	true
0	0	28.7083611514137	false
0	0	28.86173937932362	false
1	0	21.24170426307645	false
1	0	19.63899182748443	false
0	0	16.24315240339756	true
0	0	12.264175471673585	true
1	0	22.378561169118985	false
1	1	12.952991932368368	false
0	0	12.593649193144929	true
1	0	15.280052355931241	false
1	1	11.5	false
0	0	19.453534383242545	false
1	0	14.276203977248295	false
1	0	12.45230902282785	false
1	1	11.5	false
0	0	17.346181135915767	false
0	0	25.540947515705046	false
1	1	21.612033684963574	false
1	0	15.55409913816933	false
0	0	22.91309669163031	false
1	0	20.9057408383439	false
1	0	15.28397853963424	false
1	1	9.052071586106683	false
0	0	21.840329667841555	false
1	1	9.302150289046075	false
0	0	19.88064385275286	false
1	0	15.684705926474997	false
1	1	18.95098942008042	false
1	1	6.536818798161691	false
0	0	18.215652609774924	false
1	0	10.787029248129436	false
0	0	16.32482771731451	false
0	0	4.648655719667789	false
1	0	18.676188047885997	false
1	0	18.631693428134763	false
1	0	12.66570171763097	false
1	0	13.944532978913282	false
0	0	7.121797525905947	true
0	0	20.62280291328024	false
1	0	17.14059508885266	false
1	1	8.33846508657319	false
1	0	32.52460606986656	false
0	0	14.142842712835346	false
0	0	11.04400289750052	false
1	1	15.911002482559047	false
0	0	24.26375898330677	false
1	0	20.61892334725555	false
0	0	19.479476378999514	true
1	0	30.79496712126837	false
0	0	18.530245546133493	false
0	0	17.176728442867113	false
0	0	23.07661153635863	false
0	0	18.725917868024524	false
1	0	26.700749053163285	false
0	0	6.171709649683792	false
1	1	11.539497389401332	false
0	0	13.366001645967273	false
1	0	17.34156855650607	false
1	0	13.01729618622853	false
1	0	27.759682995308143	false
0	0	24.239843233816504	false
1	1	23.136551169091728	false
1	0	32.31671394185986	false
0	0	15.45380212116099	false
1	0	13.743725841270265	true
1	0	28.877846180073753	false
0	0	18.850198937942274	false
1	1	9.364827814754522	true
0	0	17.577542490348296	false
1	0	6.530696746902283	false
0	0	13.314653581674595	false
1	0	17.121331723905126	false
1	0	11.067971810589322	true
0	0	57.05094214822398	false
0	0	18.95098942008042	false
0	0	24.956962956257325	false
0	0	7.076722405181654	true
1	1	11.5	false
1	0	16.865645555388618	false
1	0	15.431461369552784	false
1	0	15.11720873706519	false
0	0	21.70023041352326	false
0	0	28.021598812344738	false
1	0	7.513321502504736	false
1	1	2.024845673131665	false
0	0	26.332679316772918	false
1	0	26.740231861373232	false
1	1	7.161005515987261	true
0	0	20.22671500763286	false
0	0	11.115754585272203	true
0	0	24.242318370980943	false
1	0	19.00657780874821	false
0	0	37.079374320503305	false
0	0	7.507329751649385	true
1	0	16.15549442140351	false
0	0	19.99124808509964	false
1	0	16.66763330530163	false
0	0	5.60802995712398	false
1	1	5.303772242470445	false
0	0	12.767536959022285	false
0	0	15.728000508646986	false
0	0	18.016103907338017	false
0	0	29.022232856897833	false
0	0	18.638669480410876	false
0	0	22.594247055390007	false
1	1	6.280127387243031	false
0	0	18.804254837669053	false
1	0	33.375440072005034	false
