on_target	goal	distance	headed
1	1	15.456390264224044	false
1	0	19.6847656831368	false
0	0	29.502033828195643	false
1	0	12.850291825480074	false
1	0	27.644348427843262	false
1	1	11.5	false
1	1	8.329465769183518	false
0	0	21.083642948978245	false
0	0	23.792856070678024	false
0	0	17.678235206037964	false
0	0	5.249761899362674	true
1	0	22.877936969928037	false
1	1	9.231467922275412	false
1	1	11.5	false
0	0	19.948182874637975	false
1	0	17.90670265570968	false
0	0	12.894960255851894	false
1	0	27.66983917553551	false
0	0	29.492032822442063	false
0	0	13.00499903883118	false
0	0	27.111805546661778	false
0	0	35.095583767762	false
0	0	23.568835355188853	true
0	0	28.81735588148226	false
1	1	11.5	false
0	0	26.524328455212583	false
1	0	22.34032228952841	false
1	1	10.480935072788121	false
0	0	31.072174046886385	false
1	0	10.176934705499496	false
1	0	14.731259280862584	false
1	0	18.23211452355431	false
0	0	13.901438774457844	false
0	0	35.497887261075135	false
0	0	12.100413216084807	true
0	0	32.140939625343876	false
0	0	12.860015552090129	true
0	0	27.188416651213796	false
1	0	19.56731969381601	false
1	1	10.770329614269006	false
1	0	16.502424064360973	false
0	0	19.82145302443794	false
1	0	16.593974810153235	false
0	0	14.272000560538109	false
0	0	28.567464010653794	false
0	0	18.461310896033364	false
1	0	22.010906387516165	false
1	0	24.580073230159428	false
1	1	18.172781845386247	false
0	0	29.154759474226505	false
0	0	11.84736257569591	false
0	0	29.09467305195231	false
1	0	17.32541485794784	true
0	0	32.496922931256115	false
1	1	6.865857557508751	false
1	1	7.125307010929418	true
1	1	14.389232085139223	false
0	0	12.1037184369102	false
0	0	19.86403785739445	false
1	0	14.71767644704829	false
1	1	6.506919393998976	false
0	0	20.322647465327943	false
1	1	11.5	false
1	0	11.63615056623109	false
1	0	26.054750046776494	false
1	1	26.246904579397555	false
0	0	22.90785891348208	false
1	0	10.837435120913064	true
1	1	17.70536641812307	false
1	0	29.218145047213383	false
1	1	9.128526715741152	true
0	0	10.292715870944853	true
0	0	11.5	false
0	0	19.95294464483877	false
0	0	32.9946965435356	false
0	0	30.05877575684013	false
0	0	30.5766250590218	false
1	1	11.5	false
1	1	18.033579788827286	false
1	0	6.166036003787192	true
1	0	29.031879029783795	false
0	0	22.986952821111366	false
0	0	23.475306174787157	false
1	1	16.191973320136118	false
0	0	11.189280584559492	false
1	1	11.5	false
1	1	9.222797840135058	false
1	0	35.28299873876936	false
1	1	22.496444163467256	false
1	0	22.951252689123525	false
1	1	15.125144627407705	false
1	1	21.163175565117818	false
0	0	18.55586160758913	false
1	1	11.5	false
1	1	11.5	false
0	0	20.014244927051337	false
