distance	nb	headed	on_target	goal
2.0	1	0	1	1
4.0	2	0	1	1
5.0	1	1	1	0
6.0	1	1	1	1
7.0	3	1	1	1
8.0	4	1	2	2
9.0	1	0	1	1
10.0	4	2	1	1
11.0	5	2	3	2
12.0	9	3	5	3
13.0	3	2	2	0
14.0	4	0	1	0
15.0	6	1	1	0
16.0	3	0	1	0
18.0	3	0	2	1
19.0	3	0	1	0
20.0	2	0	0	0
21.0	1	0	1	0
22.0	2	0	1	0
23.0	2	0	1	1
24.0	1	0	1	0
26.0	4	0	0	0
27.0	2	0	0	0
29.0	2	0	1	0
31.0	1	0	0	0
32.0	1	0	0	0
35.0	2	0	0	0
40.0	1	0	1	0
